file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,46,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,38
static\style.css,47,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,35
static\style.css,48,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,49,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,50,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,12
static\style.css,51,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,25
static\style.css,52,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,25
static\style.css,53,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,39
static\style.css,54,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,20
static\style.css,55,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,1,70
static\style.css,56,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,57,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,58,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,0,13
static\style.css,59,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,1,17
static\style.css,60,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,1,9
static\style.css,61,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,1,11
static\style.css,62,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,1,20
static\style.css,63,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,1,8
static\style.css,64,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,0,0
static\style.css,65,css,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,0,0
static\style.css,66,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,22
static\style.css,67,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,48
static\style.css,68,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,69,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,70,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,20
static\style.css,71,css,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,34
static\style.css,72,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,14
static\style.css,73,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,0
static\style.css,74,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,24
static\style.css,75,css,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,11
